,Movie Id,Genre,Release Date,Rating,Summary,Shooting Location,Budget in USD,Awards,Popular
49,NIQDIWLDU,History,18/09/1991,9.282918574,A historical drama that explores the life and legacy of a powerful female ruler.,Paris,36702320.82,1,1
29,ITQAOMWCN,Adventure,24/07/1982,9.234547256,"In a world where dragons roam the skies, a young dragon rider must unite the kingdoms against a common enemy.",Paris,28146,2,0
19,RJZQQKRJA,Drama,14/09/2008,8.893801203,A heartwarming family film that celebrates the importance of family and togetherness.,Tokyo,10505262.77,1,0
19,ISGJASFEZ,Drama,12/08/1984,7.547582968,A heartwarming family film that celebrates the importance of family and togetherness.,Toronto,37718555.65,1,1
14,YPBACMLFD,Fantasy,14/10/2019,8.250387179,"When a deadly virus spreads across the globe, a team of scientists races against time to develop a cure before humanity is wiped out.",Paris,49355188.81,1,0
39,KIDZQFQFI,Thriller,05/07/2010,8.596480582,A group of college students get more than they bargained for when they participate in a mysterious psychological experiment.,New York,54414816.11,2,0
32,UOBPHGTNY,War,15/12/1994,8.111372306,A group of World War II veterans reunite decades later to share their stories and commemorate their fallen comrades.,Sydney,80587531.11,1,1
65,SDSESHUSU,Drama,09/03/1996,4.7310142,A heartwarming animated film that teaches valuable life lessons through humor and adventure.,London,29541304.54,0,0
9,RZXVUTIPA,Comedy,17/11/1991,9.985402074,A heartwarming story about a dog who brings two lonely people together.,Los Angeles,12812181.95,1,0
57,LXNSPREJC,Crime,02/06/1986,3.742544423,A retired detective investigates a seemingly simple case that leads him down a rabbit hole of conspiracy and betrayal.,New York,43073350.47,0,0
32,ECFBNOWKW,War,14/10/2019,7.616873903,A group of World War II veterans reunite decades later to share their stories and commemorate their fallen comrades.,Los Angeles,9016002.732,0,0
31,LDLGREFUW,Adventure,26/12/1981,6.780528361,A group of survivors must navigate a treacherous landscape filled with monsters and mutants to reach safety.,Tokyo,76062875.74,0,0
74,ESXJFCHTV,Action,14/11/2005,3.938910713,"A reclusive writer discovers a portal to another dimension in his attic, leading him on a journey of self-discovery and adventure.",Toronto,48022882.4,0,0
23,APVBQMKYT,Romance,04/11/1996,7.577016826,A thought-provoking film that explores the meaning of life and the human condition.,Paris,21378997.03,1,0
35,ZIYEGEJQL,Comedy,05/12/2015,3.175992368,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",Tokyo,12629859.2,0,0
75,QEZXKDDZI,Musical,24/11/2017,8.138055487,A high-stakes heist movie where a team of skilled criminals plan and execute a daring robbery.,Los Angeles,53606268.19,1,1
55,PXNVCAHNB,Comedy,05/03/2005,9.239033718,A down-on-his-luck salesman gets a second chance at life when he discovers a magical briefcase that grants wishes.,Paris,67899079.69,2,0
28,JDIKIDDGY,Drama,17/12/1991,9.90192009,A talented young musician struggles to overcome her stage fright and achieve her dreams.,Sydney,,2,0
34,WVIBPSCDB,Action,18/04/1997,8.09115086,A suspenseful psychological thriller that keeps you guessing until the very end.,Sydney,70474648.4,1,0
0,VZGGYNRAQ,Science Fiction,12/11/2000,9.972945117,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Toronto,61011553.8,1,0
0,PDFIMEOCJ,Science Fiction,29/04/1984,5.150131387,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Paris,5427362.2,0,0
36,SQPMBRKGE,Mystery,28/04/1987,9.466061567,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",Tokyo,65049174.12,2,0
53,UFQMKBHII,Animation,24/08/2020,9.977966282,A captivating musical film that will transport you with its stunning visuals and powerful music.,Los Angeles,52152927.92,2,0
5,BNNPUOCKZ,Crime,13/03/2009,9.390833423,A captivating foreign film that showcases the beauty and richness of a different culture.,London,82727450.89,1,0
38,ZCKFMPWZL,Musical,13/01/2006,4.496296831,A heartwarming documentary film about a group of individuals who are making a positive impact on the world.,Tokyo,,0,0
17,PUEYFLNEY,Drama,16/11/2002,3.343802349,"A brilliant scientist invents a revolutionary new technology that could change the world, but faces ethical dilemmas about its potential consequences.",New York,16590019.55,0,0
79,ZYLGKLFTA,Crime,05/08/2018,7.458723142,"A cunning art thief plans their most daring heist yet, targeting a priceless artifact from a heavily guarded museum.",New York,60123728.76,0,0
4,AXDGFVHBP,Horror,28/12/2008,8.689384561,A forbidden love blossoms between a vampire and a mortal in a world where supernatural beings are shunned by society.,New York,76948235.37,1,1
42,PFKWGEPXS,Action,12/07/2017,7.998510769,A young woman discovers she is the chosen one destined to bring balance to the universe in a time of great turmoil.,Los Angeles,19550488.35,0,0
58,GMSWWQKOE,Horror,06/02/1999,8.62900802,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",New York,85405232.91,1,0
31,QKPWRHWCW,Adventure,14/12/1986,9.034368309,A group of survivors must navigate a treacherous landscape filled with monsters and mutants to reach safety.,Toronto,,2,0
1,ERXBQMRTR,Thriller,27/02/2006,7.757823926,A thrilling survival story about a group of people stranded in a dangerous situation and their fight for survival.,New York,9799587.793,1,0
65,DESDVSGGZ,Drama,05/06/2021,8.313811181,A heartwarming animated film that teaches valuable life lessons through humor and adventure.,Paris,85124400.53,1,1
41,UBQMLOFWR,Action,06/01/1991,8.610153566,"When a powerful artifact is stolen from a museum, a team of experts must track down the thief before it falls into the wrong hands.",Paris,22481441.23,2,0
57,AQSUNARAF,Crime,01/04/2000,9.713244303,A retired detective investigates a seemingly simple case that leads him down a rabbit hole of conspiracy and betrayal.,Paris,56754644.77,2,0
35,XWQMCYVKI,Comedy,06/07/1988,9.001012842,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",Los Angeles,36588,1,0
11,LEPPPCKVU,Science Fiction,12/02/2006,9.136741549,A group of friends embark on a hilarious road trip filled with misadventures and unexpected discoveries.,New York,30411685.24,2,1
46,ZGSTRPDMV,Drama,17/01/1989,8.893294282,"A documentary film that sheds light on a social or environmental issue, raising awareness and sparking important conversations.",Tokyo,6513974.333,0,0
82,XDDESEJJI,Drama,22/07/1985,7.314048574,A high-powered lawyer takes on a seemingly unwinnable case to defend a client accused of a shocking crime.,New York,61300817.55,1,0
91,GYQOTYSTI,Adventure,11/04/1990,9.436567302,A group of explorers ventures deep into the Amazon rainforest in search of a lost civilization.,Toronto,11845548.03,1,1
0,QVVAINNQH,Science Fiction,21/12/2012,9.547304275,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Paris,3748891.485,1,1
14,ZYJZCDKBP,Fantasy,18/10/2021,9.662005088,"When a deadly virus spreads across the globe, a team of scientists races against time to develop a cure before humanity is wiped out.",Sydney,67484267.28,2,0
99,CGMYAWJZB,Horror,25/12/1984,3.829856962,A thought-provoking science fiction film that explores the potential consequences of technological advancements.,New York,10863293.77,0,0
53,JLNEVFBVD,Animation,08/10/1990,4.844695189,A captivating musical film that will transport you with its stunning visuals and powerful music.,Paris,73193850.94,0,0
12,SYOQTUNKC,Crime,16/07/1997,5.747463565,A young woman discovers she possesses magical abilities and must learn to control them before they endanger herself and others.,New York,89028017.48,0,0
42,PEZLGVBZQ,Action,12/02/2017,9.604441648,A young woman discovers she is the chosen one destined to bring balance to the universe in a time of great turmoil.,Sydney,36927791,2,1
84,ZALEVAVBV,Mystery,14/06/1981,8.579075914,"A young orphan discovers a magical world hidden within her own imagination, where she must confront her deepest fears to save the kingdom from darkness.",Los Angeles,58495999.51,2,0
75,EDURUIJKP,Musical,03/10/2021,8.794323071,A high-stakes heist movie where a team of skilled criminals plan and execute a daring robbery.,Toronto,83764673.49,1,1
68,ERKSBQFKS,Fantasy,15/01/2003,6.52811577,A mythical creature awakens from its slumber and threatens to destroy a peaceful kingdom.,London,82603778.32,0,0
6,GWJLMLYHS,History,25/12/1984,9.979475037,A group of cowboys band together to protect their land from a ruthless cattle baron who seeks to exploit it for his own gain.,Toronto,28843718.8,1,1
68,TDQZSFJTF,Fantasy,29/05/1995,9.530736561,A mythical creature awakens from its slumber and threatens to destroy a peaceful kingdom.,Toronto,3417185.153,2,0
47,HRPIDPUUN,Documentary,09/05/1993,8.786796431,A documentary that sheds light on the devastating effects of climate change on our planet.,London,26609476.36,2,0
3,VDDHKEZDQ,Science Fiction,07/10/2012,7.574250798,A group of misfit heroes must band together to stop a villainous plot that threatens to unleash chaos upon the world.,New York,17543116.74,1,1
76,ZJGSUGURF,Comedy,31/08/2005,9.977536052,A heartwarming coming-of-age story about a young person navigating the challenges and triumphs of adolescence.,Tokyo,32670588.3,2,0
100,XLVPDNYKW,Animation,18/02/2016,8.537405185,A group of animals embark on a daring rescue mission to save their friend from a ruthless animal control officer.,New York,26284534.47,2,0
52,JQNEUSYWD,Thriller,27/03/2001,9.928119892,"In a kingdom plagued by darkness, a young prince must wield the legendary sword of light to restore peace and harmony.",Sydney,76031077.64,2,0
78,KKEPSLMJH,History,29/07/2003,8.227086001,A heartwarming sports film about a team that overcomes adversity and achieves greatness.,Toronto,47677188.03,0,0
15,EPFCYZPSW,Romance,04/02/1983,9.481449083,"A talented musician gets a chance to perform on the biggest stage in the world, but must overcome their stage fright to succeed.",New York,12516091.49,1,0
20,CTKHKQYVC,Comedy,28/08/1981,9.750505468,A bumbling office worker accidentally becomes a social media sensation with hilarious consequences.,London,35333548.25,1,0
99,BKQIGXXQD,Horror,19/09/2018,8.990786451,A thought-provoking science fiction film that explores the potential consequences of technological advancements.,New York,60269382.7,2,1
58,QCPQZBJFU,Horror,17/12/2010,8.470207747,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",New York,79585629.41,2,0
23,CCBXPSOOS,Romance,23/08/2012,8.813070062,A thought-provoking film that explores the meaning of life and the human condition.,Paris,42045528.47,0,0
79,JVADNATYG,Crime,19/03/2016,9.746177589,"A cunning art thief plans their most daring heist yet, targeting a priceless artifact from a heavily guarded museum.",New York,82715046.47,2,1
13,MLYORDPXJ,Foreign,25/08/1998,3.349862051,A heartwarming story about a dog who brings joy and companionship to a lonely widower.,Toronto,71872994.77,0,0
85,EQQOZEJHY,Drama,08/01/2007,3.720527853,"When a mysterious artifact is unearthed in the desert, an archaeologist embarks on a perilous journey to unlock its ancient secrets.",Paris,7751903.924,0,0
48,XOOACEYFH,Thriller,13/12/1997,8.198864012,A group of teenagers form a secret society dedicated to solving mysteries and uncovering hidden truths in their town.,Los Angeles,73344244.13,1,0
49,IXEAKZCYR,History,08/08/2012,7.794758606,A historical drama that explores the life and legacy of a powerful female ruler.,Tokyo,9144437.374,1,0
69,GGTSNZIDT,Thriller,22/06/2007,9.401289759,A suspenseful thriller about a family trapped in their own home by a dangerous intruder.,New York,82454242.31,2,0
41,WDLSJVWMY,Action,22/06/1996,9.069754789,"When a powerful artifact is stolen from a museum, a team of experts must track down the thief before it falls into the wrong hands.",Toronto,64887412.97,1,0
35,BZSLJOTUS,Comedy,08/09/2020,9.078382418,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",Paris,21736182.55,1,1
64,PQUAVIQLG,Adventure,19/02/2013,4.433104498,"A lost civilization is rediscovered deep within the Amazon rainforest, revealing secrets of the past.",Sydney,16042010.69,0,0
95,OOTKIMMKZ,Science Fiction,21/09/2015,4.688247179,A time-traveling detective must solve a series of murders spanning decades to prevent a catastrophic event that threatens the fabric of reality.,Sydney,41907885.76,0,0
69,SMQBOSYBY,Thriller,13/03/1998,9.646362134,A suspenseful thriller about a family trapped in their own home by a dangerous intruder.,Paris,139580720,2,0
94,LWHXPYMVL,Mystery,22/05/1988,4.037370351,"In a future where emotions are outlawed, a rebel group fights to restore freedom and individuality to society.",Toronto,19119115.76,0,0
0,SKVDZPQYA,Science Fiction,26/09/1995,8.831749716,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Sydney,86182863.71,1,0
50,DACRLGAMR,Horror,13/05/2017,9.006631886,A young girl with extraordinary powers must learn to control her abilities before they consume her.,Sydney,14249709.87,1,1
36,KVMADJWPD,Mystery,18/10/1991,9.621305154,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",New York,77541810.59,1,0
34,HZIBCXAGJ,Action,12/05/2009,5.933411421,A suspenseful psychological thriller that keeps you guessing until the very end.,London,24273489.69,0,0
48,BYECIREBO,Thriller,11/09/1995,8.632553302,A group of teenagers form a secret society dedicated to solving mysteries and uncovering hidden truths in their town.,London,5055765.008,2,0
93,JLXCPKFIU,Thriller,26/03/2012,8.569472383,"A group of astronauts embarks on a mission to explore a distant planet, but they soon discover they are not alone.",New York,54743802.12,1,1
3,JRSUCDVGK,Science Fiction,13/11/2019,9.948693442,A group of misfit heroes must band together to stop a villainous plot that threatens to unleash chaos upon the world.,New York,39751595.22,1,1
98,ZXXSZLXIW,Action,18/12/2018,9.250138408,A small-town sheriff must confront his own demons when a series of murders plunges the community into chaos.,London,28096882.41,1,1
42,QRLMTDBJX,Action,11/07/2009,6.856341238,A young woman discovers she is the chosen one destined to bring balance to the universe in a time of great turmoil.,New York,29503042.63,0,0
77,RBUVAOLXJ,Sports,26/08/2006,9.781337322,A suspenseful horror film that will leave you on the edge of your seat.,New York,,1,0
21,RNKXPKZYD,Adventure,19/03/1997,7.302188876,"In a post-apocalyptic world overrun by zombies, a group of survivors must band together to find sanctuary and rebuild civilization.",London,42966586.94,1,0
73,QRRPXROLR,Science Fiction,06/07/1999,5.351996189,"When a deadly virus spreads through a crowded city, a team of first responders must race against time to contain the outbreak.",Paris,45162125.13,0,0
0,IJLBVCYGI,Science Fiction,05/06/2010,8.575629731,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Los Angeles,5634600.879,2,0
10,VYZPRMDEC,Fantasy,12/07/2017,8.30409128,"In a world where magic is forbidden, a young sorceress must harness her hidden powers to save her homeland from destruction.",New York,63264922.96,1,0
43,KYHXGXYYK,Science Fiction,06/10/1993,8.893718637,"A group of scientists develop a revolutionary new technology that could change the world, but face ethical dilemmas in its application.",London,46852086.81,1,0
58,CWDIFYZEE,Horror,16/08/2005,8.783909027,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",Sydney,71798457.05,1,0
23,ODWDQJDEN,Romance,22/10/2001,9.287037673,A thought-provoking film that explores the meaning of life and the human condition.,New York,49337868.98,2,1
59,OKBUTGHZA,Animation,06/05/1991,8.772862105,A group of animals embark on a daring rescue mission to save one of their own from a dangerous situation.,New York,24033836.97,1,1
2,NWMCNUWTI,Fantasy,07/09/2001,9.964846914,A legendary swordsman embarks on a quest to avenge his fallen master and restore honor to his name.,Paris,12232719.03,2,1
98,CTVREYUUB,Action,24/04/2015,9.184897344,A small-town sheriff must confront his own demons when a series of murders plunges the community into chaos.,Los Angeles,46557215.76,2,1
62,FKLKRDZDD,Family,20/10/1985,9.324682574,A group of archaeologists uncover a hidden tomb filled with ancient treasures and deadly curses.,New York,85936569.58,0,0
35,AIZTQKYIW,Comedy,24/03/1996,8.968026414,"A disgraced chef sets out on a road trip to open a new food truck, reconnecting with his estranged son along the way.",Toronto,17183423.87,2,0
94,DEFPDYTXT,Mystery,16/04/2000,7.675481463,"In a future where emotions are outlawed, a rebel group fights to restore freedom and individuality to society.",Los Angeles,54282613.52,1,0
67,TBYOSNDXZ,Fantasy,05/08/1988,7.298204203,A young inventor builds a time machine and embarks on a journey through history to save the future.,Toronto,52284628.71,0,0
82,SHWNLGZNU,Drama,29/04/1995,7.900183667,A high-powered lawyer takes on a seemingly unwinnable case to defend a client accused of a shocking crime.,London,,0,0
46,WFHVETOJS,Drama,14/03/2006,9.338232207,"A documentary film that sheds light on a social or environmental issue, raising awareness and sparking important conversations.",London,72003471.91,2,1
99,AXCPZPMBL,Horror,23/03/2018,3.270425239,A thought-provoking science fiction film that explores the potential consequences of technological advancements.,Sydney,63037984.55,0,0
20,WZYVASQPC,Comedy,20/06/2010,8.255449008,A bumbling office worker accidentally becomes a social media sensation with hilarious consequences.,Tokyo,46477070.71,1,0
81,IFYUNRHFG,Documentary,19/05/2005,9.778576244,This documentary explores the cutthroat world of competitive ballroom dancing.,Paris,56500572.29,1,1
50,EYYUKBHGW,Horror,05/06/2021,9.644012482,A young girl with extraordinary powers must learn to control her abilities before they consume her.,London,58564733.66,2,1
27,YLQLAUZXZ,Animation,08/09/1990,8.67753466,A high-octane action movie with stunning visuals and jaw-dropping stunts.,Sydney,86425117.32,2,0
14,TVZQLIWVU,Fantasy,14/02/1981,7.760005372,"When a deadly virus spreads across the globe, a team of scientists races against time to develop a cure before humanity is wiped out.",New York,19039667.6,1,1
41,PHPLYVRTL,Action,10/10/1987,3.38578664,"When a powerful artifact is stolen from a museum, a team of experts must track down the thief before it falls into the wrong hands.",New York,49892882.86,0,0
58,JZPLQBVDQ,Horror,18/01/1997,9.547074539,"A group of teenagers explore a seemingly abandoned house, only to discover it's haunted by a vengeful spirit.",Toronto,76026335.53,1,1
65,ZDIEKUDWA,Drama,17/09/2013,8.864959938,A heartwarming animated film that teaches valuable life lessons through humor and adventure.,London,11633112.52,2,0
36,HSELIBSUI,Mystery,15/03/1984,9.924358025,"When a series of strange events plague a small town, a group of teenagers must uncover the truth behind the mystery before it's too late.",Tokyo,,1,0
10,ILCPYCDZA,Fantasy,21/12/2012,9.826713677,"In a world where magic is forbidden, a young sorceress must harness her hidden powers to save her homeland from destruction.",Sydney,68605537.2,2,0
86,JWFYFUVKJ,Drama,08/10/2020,3.44340338,A renowned pianist grapples with the loss of his hearing as he prepares for his final performance.,Paris,23119167.95,0,0
43,TKGJDDPSK,Science Fiction,19/06/2002,7.613443223,"A group of scientists develop a revolutionary new technology that could change the world, but face ethical dilemmas in its application.",Sydney,87754941.71,1,0
11,KVBLDCYAI,Science Fiction,06/03/2013,9.548735591,A group of friends embark on a hilarious road trip filled with misadventures and unexpected discoveries.,Toronto,21336168.59,2,1
2,KNJBTDWKL,Fantasy,19/06/1983,6.309828075,A legendary swordsman embarks on a quest to avenge his fallen master and restore honor to his name.,Tokyo,77804379.01,0,0
51,UTSLIGDDP,Mystery,23/01/2007,8.071466449,A series of seemingly unrelated events leads a group of strangers to discover a hidden conspiracy that threatens their lives.,Los Angeles,22943634.36,1,0
80,XEQFILKUN,Fantasy,24/03/1985,9.659905266,A group of social media influencers trapped on a deserted island must learn to survive and work together without their usual luxuries.,Paris,73846900.09,1,1
32,XQJIHTPGE,War,07/11/2009,8.115483108,A group of World War II veterans reunite decades later to share their stories and commemorate their fallen comrades.,Paris,30077401.66,1,0
54,JRDBLFHVY,Romance,09/09/2009,5.639252365,"A shy bookstore owner finds love with a charming customer, but their happiness is threatened by a mysterious illness.",New York,89661688.62,0,0
0,HADUFIPQT,Science Fiction,18/04/1986,9.733562817,"When a series of unexplained phenomena terrorizes a small town, a skeptical detective must confront the possibility of the supernatural.",Paris,73531619.04,2,0
38,CYRYPGZAQ,Musical,06/07/2018,8.800166264,A heartwarming documentary film about a group of individuals who are making a positive impact on the world.,Paris,23665046.37,2,1
19,LFGLQNLBN,Drama,11/06/2009,9.158701188,A heartwarming family film that celebrates the importance of family and togetherness.,Toronto,68743195.54,2,1
46,ZWRNYGHBY,Drama,28/08/1992,6.012535932,"A documentary film that sheds light on a social or environmental issue, raising awareness and sparking important conversations.",New York,52061829.57,0,0
42,AYSJYXWUJ,Action,22/05/1999,8.749287959,A young woman discovers she is the chosen one destined to bring balance to the universe in a time of great turmoil.,Paris,126578616,2,0
56,JFUFOUAYF,Mystery,04/01/2016,8.465044572,"In a world where dreams are harvested for profit, a young dreamweaver rebels against the system to reclaim her freedom.",Tokyo,11313270.85,2,0
60,GVLDZHZIY,Foreign,17/11/2010,8.512811934,A coming-of-age story that explores the power of friendship and self-discovery.,Paris,40522001.22,1,0
77,EESKHDMIG,Sports,04/01/2005,8.895188308,A suspenseful horror film that will leave you on the edge of your seat.,London,15846211.48,1,0
30,QZEULNJHW,Science Fiction,06/02/2018,9.070235486,A group of astronauts on a mission to Mars encounter a strange alien life form that threatens their survival.,Toronto,75952344.95,0,0
24,TOMUYBKBY,Musical,20/02/2021,3.117775644,A group of talented singers compete for a life-changing opportunity in a nationwide singing competition.,Paris,29651944.44,0,0
2,TOUOOOMSO,Fantasy,19/03/1997,8.371921306,A legendary swordsman embarks on a quest to avenge his fallen master and restore honor to his name.,Paris,15102127.66,1,0
3,WOEYPUFUG,Science Fiction,15/07/2000,9.788405986,A group of misfit heroes must band together to stop a villainous plot that threatens to unleash chaos upon the world.,Los Angeles,65208880.04,2,1
94,KUKCZFZBT,Mystery,23/04/1996,7.384574634,"In a future where emotions are outlawed, a rebel group fights to restore freedom and individuality to society.",Los Angeles,22624512.89,0,0
98,OAELLFGJY,Action,13/11/2019,8.958704309,A small-town sheriff must confront his own demons when a series of murders plunges the community into chaos.,Sydney,61974746.7,2,0
13,ZXRCKAFEB,Foreign,05/11/2015,8.500129403,A heartwarming story about a dog who brings joy and companionship to a lonely widower.,Tokyo,36546852.15,1,1
40,USKFWXOXE,Fantasy,07/01/1999,4.540164178,A coming-of-age story about a young woman who discovers her family's magical heritage.,Los Angeles,35629127.23,0,0
72,ZCNBNFHEL,Science Fiction,13/08/1981,9.136369293,A heartwarming romantic comedy about two people who find love in the most unexpected of places.,Sydney,10244831.25,2,1
19,CPCZXXTQE,Drama,18/05/1986,9.302239205,A heartwarming family film that celebrates the importance of family and togetherness.,Tokyo,1117488.318,2,0
95,TGXMSGBKV,Science Fiction,08/05/1985,9.388208406,A time-traveling detective must solve a series of murders spanning decades to prevent a catastrophic event that threatens the fabric of reality.,Sydney,85222134.57,1,0
72,YQZPWCPXH,Science Fiction,16/05/2000,9.890802337,A heartwarming romantic comedy about two people who find love in the most unexpected of places.,Los Angeles,1753746.268,2,0
26,HVAJXLQJQ,Family,28/09/1989,8.464951174,A single parent struggles to raise their children while balancing work and pursuing their own dreams.,Los Angeles,66996466.89,2,0
66,DNEMUVQSL,Adventure,28/08/1992,7.872782269,A disgraced lawyer takes on a seemingly unwinnable case and fights for justice against all odds.,Toronto,61742981.44,1,0
52,KRNDDCERL,Thriller,25/11/2014,9.448965977,"In a kingdom plagued by darkness, a young prince must wield the legendary sword of light to restore peace and harmony.",New York,,1,0
